position_id,Firm,Position,Category,Location,Type,Priority,Application Requirements,Applied On,CV Version,Cohort Requirement,Cover Letter Required,Deadline,Division / Desk,Info,Next Step,Next Step Date,Notes,Online Tests,Opens (est.),Portal Link,Profile Fit,Referral / Contact,Status,Test Prep,Visa Sponsorship,notion_page_id,notion_url,last_edited_time
pos_bad6b66fb3,3Red Partners,Graduate Trader — 2027 Incoming Graduate (Amsterdam),Prop / Market Making,Amsterdam,Graduate,Tier 2,,,,,no,,,,,,"OPENED 2026-07-19 — NEW FIRM. 3Red Partners Graduate Trader, Chicago / Amsterdam (Summa), explicitly for BSc/MSc/PhD STEM candidates 'graduating in 2027 by August 2027' — clean cohort match. Python + data experience expected. Posting appeared on their Greenhouse board within the last ~2 days. Rolling, no published deadline. (Their sibling Graduate Quantitative Researcher and Graduate C++ Developer reqs are Chicago-only — out of scope.)",,Open now,https://job-boards.greenhouse.io/3redpartners/jobs/8634612002,Good,,Open - Not Applied,,,3a21d664-3333-8161-aa48-c906e9aafd67,https://app.notion.com/p/Graduate-Trader-2027-Incoming-Graduate-Amsterdam-3a21d66433338161aa48c906e9aafd67,2026-09-18T10:28:00.000Z
pos_fc878c9d06,ABN AMRO,ABN AMRO — Global Markets Traineeship,Bulge Bracket Markets,Amsterdam,Graduate,Tier 2,,,,,no,,Global Markets,,,,FIRM = ABN AMRO (Firm dropdown at Notion's 100-option cap — could not add option; fix next run). DISCOVERED 2026-09-08 — NOT YET OPEN. ABN AMRO's Global Markets Traineeship (Amsterdam) targets MSc Econometrics / Quantitative Finance with March and September intakes — a strong structural match for a 2027 MSc graduate. Zero trainee-level vacancies are live on their board today. Re-check for the September 2027 intake.,,TBC — March & September intakes; verify at scan,https://www.abnamro.com/careers,Good,,Not Yet Open,,,3d51d664-3333-816b-93e3-d9222f1bed97,https://app.notion.com/p/ABN-AMRO-Global-Markets-Traineeship-3d51d6643333816b93e3d9222f1bed97,2026-09-18T10:35:00.000Z
pos_9aef8a5317,APG Asset Management,APG Asset Management — Quant Researcher / Graduate 2027,Systematic / Quant Fund,Amsterdam,Graduate,Tier 3,,,,,no,,,,,,"Seeded 2026-07-17 (Europe-wide expansion). FIRM: APG Asset Management (not in Firm dropdown). Large Dutch pension AM with quant teams, Amsterdam. Scan to verify live European quant early-careers postings.",,TBC — checked 14 Sep 2026; all 8 live vacancies are IT/data/risk/PE. No early-careers quant or traineeship.,https://werkenbij.apg.nl/vacatures/,Good,,Not Yet Open,,,3a01d664-3333-8101-be93-cad416f01b2f,https://app.notion.com/p/APG-Asset-Management-Quant-Researcher-Graduate-2027-3a01d66433338101be93cad416f01b2f,2026-09-18T10:28:00.000Z
pos_c7f583a87b,AQR,AQR — Quantitative Research Summer Internship 2027,Systematic / Quant Fund,London,Summer,Tier 2,,,,,no,,Global Alternative / Quantitative Research,,,,Firm: AQR (set Firm dropdown manually). Leading systematic manager; London office exists. BUT the flagship 10-wk QR internship is Greenwich (US)-based (June–Aug); US applications go live ~30 Jun. A dedicated LONDON early-careers/internship route is NOT confirmed as of 2 Jul 2026 (careers page wouldn't render) — verify at careers.aqr.com/jobs/city/london. Added by Claude 2 Jul 2026.,Coding + quant/statistics assessment (reported); verify for London,~30 Jun (US cycle); London TBC,https://careers.aqr.com/,Moderate,,Not Yet Open,,,3911d664-3333-81c9-a407-f53c340ada21,https://app.notion.com/p/AQR-Quantitative-Research-Summer-Internship-2027-3911d664333381c9a407f53c340ada21,2026-09-18T10:29:00.000Z
pos_ea09185eec,AQR,Graduate Quant Researcher 2027,Systematic / Quant Fund,London,Graduate,Tier 2,,,,,no,,,,,,Auto-added 2026-07-15 for graduate-role coverage. Daily scan will check for live European graduate / campus-full-time postings.,,TBC (grad cycle),https://careers.aqr.com/,Moderate,,Not Yet Open,,,39e1d664-3333-819f-b44a-cde7726bf170,https://app.notion.com/p/Graduate-Quant-Researcher-2027-39e1d6643333819fb44acde7726bf170,2026-09-18T10:29:00.000Z
pos_e07b3b8d0e,AXA IM (BNP Paribas AM),AXA IM (BNP Paribas AM) — Graduate / Internship 2027 (Quant),Systematic / Quant Fund,Paris / London,Graduate,Tier 3,,,,,no,,Quantitative / Multi-Asset & Fixed Income,,,,Firm: AXA IM / BNP Paribas AM (set Firm dropdown manually). NB AXA IM merged into BNP Paribas Asset Management (Jul 2025) — combined entity is BNP Paribas AM (distinct from the BNP Paribas CIB markets row). Paris/London; graduate roles + VIE (French international internship) + internships; quant analyst track (trading models/backtesting). Rolling. Verify current listings post-merger. Added by Claude 2 Jul 2026.,Varies (BNP Paribas AM process; numerical/verbal + video) — verify,Rolling / VIE,https://www.axa-im.com/careers/students-and-graduates,Good,,Not Yet Open,,,3911d664-3333-8117-a6de-f007cbf992d0,https://app.notion.com/p/AXA-IM-BNP-Paribas-AM-Graduate-Internship-2027-Quant-3911d66433338117a6def007cbf992d0,2026-09-18T10:29:00.000Z
pos_ce2eada1c4,Akuna Capital,Graduate / Campus Full-Time Trader 2027,Prop / Market Making,London,Graduate,Tier 2,,,,,no,,,,,,Auto-added 2026-07-15 for graduate-role coverage. Daily scan will check for live European graduate / campus-full-time postings.,,RE-CHECKED 2026-09-17 — NOT OPEN in Europe. akunacapital.com Early Careers roles are Chicago/Shanghai only; no London graduate trader posting.,https://akunacapital.com/careers,Good,,Not Yet Open,,,39e1d664-3333-8174-9950-e66e8ebee44d,https://app.notion.com/p/Graduate-Campus-Full-Time-Trader-2027-39e1d664333381749950e66e8ebee44d,2026-09-18T10:29:00.000Z
pos_8352572920,Akuna Capital,Trading Internship 2027,Prop / Market Making,London,Summer,Tier 2,,,,,no,,Options Trading,,Monitor portal,,London office confirmed; penultimate-year internships across Trading/Tech/Quant. 2027 intake TBC (not yet live) as of Jul 2026. EU route confirmed.,Numerical/probability assessment + options game + coding,"RE-CHECKED 2026-09-17 — NOT OPEN in Europe. akunacapital.com Early Careers filter returns 6 roles, all Chicago/Shanghai. Only live London role is an experienced Platform Engineer.",https://akunacapital.com/careers,Good,,Not Yet Open,,,3911d664-3333-81b1-b250-dc0a4b2a196e,https://app.notion.com/p/Trading-Internship-2027-3911d664333381b1b250dc0a4b2a196e,2026-09-18T10:30:00.000Z
pos_472c659195,All Options,Graduate / Campus Full-Time Trader 2027,Prop / Market Making,Amsterdam,Graduate,Tier 3,,,,,no,,,,,,Auto-added 2026-07-15 for graduate-role coverage. Daily scan will check for live European graduate / campus-full-time postings.,,TBC (grad cycle),https://www.alloptions.nl/careers/,Good,,Not Yet Open,,,39e1d664-3333-8197-83ea-dc3dbc986b7d,https://app.notion.com/p/Graduate-Campus-Full-Time-Trader-2027-39e1d6643333819783eadc3dbc986b7d,2026-09-18T10:29:00.000Z
pos_562a98e16f,All Options,Trading Internship 2027,Prop / Market Making,Amsterdam,Summer,Tier 3,,,,,no,,Options Market Making,,Monitor portal,,Amsterdam options market maker; smaller/less competitive than Optiver/IMC — good diversifier. Runs a 6-month Graduate Trader programme (rolling) rather than a fixed summer internship. No distinct 2027 intern posting confirmed live as of 2 Jul 2026 — check for graduate-trader openings. EU route confirmed.,Numerical / mental-arithmetic test; options game,Rolling,https://www.alloptions.nl/careers/,Good,,Not Yet Open,,,3911d664-3333-8190-bd19-ff8ca9c62d88,https://app.notion.com/p/Trading-Internship-2027-3911d66433338190bd19ff8ca9c62d88,2026-09-18T10:30:00.000Z
